yyyy-mm-dd,hh:mm:ss.ss,lat,lon,depth,ML,Nsta,RMS,intensity,induced,locality_1,locality_2,locality_3
2023-02-15, 13:48:31.0,56.785,-5.618,7.7,0.8,5,0.3,      ,   , LOCH SHIEL,HIGHLAND     <br>,
2023-02-17, 11:30:35.4,56.511,-5.624,2.6,1.1,6,0.4,      ,   , LOCH LINNHE,HIGHLAND    <br>,
2023-02-18, 10:07:22.8,56.648,-5.679,7.6,0.8,8,0.3,      ,   , MORVERN,HIGHLAND        <br>,
2023-02-19, 09:47:28.4,56.634,-5.687,8.8,1.2,5,0.1,      ,   , MORVERN,HIGHLAND        <br>,
2023-02-19, 10:37:42.4,56.648,-5.713,7.6,1,6,0.2,      ,   , MORVERN,HIGHLAND        <br>,
2023-02-20, 21:55:32.0,56.747,-4.992,7.6,1.2,10,0.3,      ,   , KINLOCHLEVEN,HIGHLAND   <br>,
2023-02-22, 06:40:40.2,56.63,-5.641,7.3,0.6,5,0.2,      ,   , MORVERN,HIGHLAND        <br>,
2023-02-28, 21:28:59.0,56.394,-5.452,2.6,0.6,5,0.1,      ,   , OBAN,ARGYLL &amp, BUTE      <br>
2023-03-02, 18:19:26.9,56.989,-5.758,3.2,0.7,5,0.4,      ,   , MALLAIG,HIGHLAND        <br>,
2023-03-05, 14:46:53.5,56.295,-5.263,5.9,0.6,6,0.1,      ,   , INVERINAN,ARGYLL/BUTE   <br>,
2023-03-09, 19:50:43.1,55.712,-6.067,7.6,0.9,6,0.4,      ,   , ISLAY,ARGYLL &amp, BUTE     <br>
2023-03-11, 07:19:21.6,56.348,-6.012,9.2,1.1,11,0.4,      ,   , MULL,ARGYLL &amp, BUTE      <br>
2023-03-11, 17:02:46.6,57.131,-5.607,7.6,0.8,8,0.4,      ,   , LOCH HOURN,HIGHLAND     <br>,
2023-03-15, 20:28:56.7,56.295,-5.459,8.6,0.9,5,0.1,      ,   , KILMELFORD,ARGYLL/BUTE  <br>,
2023-03-17, 00:51:01.9,55.843,-5.884,7.5,0.7,6,0.4,      ,   , JURA,ARGYLL &amp, BUTE      <br>
2023-03-17, 04:25:28.3,56.032,-4.073,13.4,0.4,7,0.2,      ,   , KILSYTH,LANARKSHIRE     <br>,
2023-03-17, 15:31:52.5,56.135,-6.021,7.6,0.8,5,0.2,      ,   , COLONSAY,ARGYLL &amp, BUTE  <br>
2023-03-18, 01:23:36.7,56.647,-5.665,8.1,0.3,4,0.4,      ,   , MORVERN,HIGHLAND        <br>,
2023-03-18, 01:24:36.4,56.004,-5.97,11.7,1.3,7,0.4,      ,   , JURA,ARGYLL &amp, BUTE      <br>
2023-03-20, 01:33:47.4,56.605,-5.387,8.1,1.3,9,0.3,      ,   , LOCH LINNHE,HIGHLAND    <br>,
2023-03-20, 19:23:56.7,55.799,-3.183,6.2,0.6,8,0.2,      ,   , PENICUIK,MIDLOTHIAN     <br>,
2023-03-24, 06:44:33.0,56.355,-5.464,6.3,1.2,5,0.2,      ,   , OBAN,ARGYLL &amp, BUTE      <br>
2023-03-24, 22:26:47.4,56.972,-4.236,4.7,0.4,8,0.4,      ,   , DALWHINNIE,HIGHLAND     <br>,
2023-03-26, 02:31:45.8,56.951,-5.434,7.5,0.5,6,0.4,      ,   , KINLOCHARKAIG,HIGHLAND  <br>,
2023-04-03, 06:02:41.4,56.994,-5.736,7.6,1,5,0.5,      ,   , MALLAIG,HIGHLAND        <br>,
2023-04-10, 00:28:39.6,56.483,-6.406,2.6,1.9,10,0.4,      ,   , MULL,ARGYLL &amp, BUTE      <br>
2023-04-13, 23:55:14.3,57.006,-5.688,7.6,0.6,5,0.5,      ,   , LOCH NEVIS,HIGHLAND     <br>,
2023-04-14, 23:27:19.6,55.23,-3.517,2.6,1.1,14,0.4,      ,   , ST ANN'S,D &amp, G          <br>
2023-04-15, 01:40:46.5,55.236,-3.515,2.6,0.3,11,0.5,      ,   , ST ANN'S,D &amp, G          <br>
2023-04-15, 21:28:43.6,55.237,-3.512,2.6,0.5,10,0.5,      ,   , ST ANN'S,D &amp, G          <br>
2023-04-16, 20:13:50.2,55.43,-5.176,7.6,0.6,7,0.2,      ,   , ARRAN,NORTH AYRSHIRE    <br>,
2023-04-18, 01:04:40.5,55.193,-2.391,12.4,0.7,7,0.2,      ,   , FALSTONE,NORTHUMBLD     <br>,
2023-04-19, 00:33:45.4,56.471,-6.425,2.6,2.2,20,0.4,      ,   , MULL,ARGYLL &amp, BUTE      <br>
2023-04-19, 02:16:31.0,57.68,-5.537,5.9,1.8,10,0.3,      ,   , SLATTADALE,HIGHLAND     <br>,
2023-04-21, 01:34:06.7,55.527,-3.005,3.2,0.8,11,0.4,      ,   , ETTRICKBRIDGE,BORDERS   <br>,
2023-04-22, 01:25:33.1,56.76,-5.108,9,2.7,18,0.3,4,   , FORT WILLIAM,HIGHLAND   <br>,
2023-04-25, 04:05:34.3,56.771,-5.187,7.7,0.5,5,0.1,      ,   , FORT WILLIAM,HIGHLAND   <br>,
2023-04-25, 04:38:43.6,55.257,-5.369,7.6,0.9,8,0.4,      ,   , FIRTH OF CLYDE          <br>,,
2023-04-25, 19:57:18.5,56.612,-6.266,5.5,1,7,0.3,      ,   , MULL,ARGYLL &amp, BUTE      <br>
